Deal Name,Stage,Amount,Close Date,Owner,Company,Status
Enterprise Software License,Qualified,250000,2025-03-31,John Doe,Acme Corp,Open
Cloud Migration Project,Proposal,175000,2025-04-15,Jane Smith,Tech Solutions Inc,Open
Security Audit Services,Negotiation,85000,2025-02-28,Bob Johnson,Global Systems Ltd,Open
Mobile App Development,Contract Sent,125000,2025-05-01,Alice Williams,StartUp Innovations,Open
Data Analytics Platform,Closed Won,320000,2024-12-15,John Doe,Enterprise Holdings,Won
Website Redesign,Qualified,45000,2025-03-15,Jane Smith,Creative Agency,Open
API Integration Services,Proposal,95000,2025-04-30,Bob Johnson,Integration Partners,Open
Training & Consulting,Negotiation,65000,2025-02-15,Alice Williams,Learning Corp,Open
Infrastructure Upgrade,Contract Sent,185000,2025-03-20,John Doe,Manufacturing Inc,Open
Custom CRM Development,Qualified,210000,2025-06-01,Jane Smith,Retail Chain Group,Open
